"sql","run_at","query_id","duration","connection","error","success"
"1864","SELECT name FROM sqlite_master WHERE type=&#x27;table&#x27; ORDER BY name;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1865","PRAGMA table_info(Eloquia_article);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1866","SELECT * FROM Eloquia_article;","Jan. 3, 2026, 9:31 a.m.","None","1","15.625238418579102","","None","True","1"
"1867","PRAGMA table_info(Eloquia_comment);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1868","SELECT * FROM Eloquia_comment;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1869","PRAGMA table_info(Eloquia_customuser);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1870","SELECT * FROM Eloquia_customuser;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1871","PRAGMA table_info(auth_group);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1872","SELECT * FROM auth_group;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1873","PRAGMA table_info(auth_group_permissions);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1874","SELECT * FROM auth_group_permissions;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1875","PRAGMA table_info(auth_permission);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1876","SELECT * FROM auth_permission;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1877","PRAGMA table_info(django_admin_log);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1878","SELECT * FROM django_admin_log;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1879","PRAGMA table_info(django_content_type);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1880","SELECT * FROM django_content_type;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1881","PRAGMA table_info(django_migrations);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1882","SELECT * FROM django_migrations;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1883","PRAGMA table_info(django_session);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1884","SELECT * FROM django_session;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1885","PRAGMA table_info(explorer_databaseconnection);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1886","SELECT * FROM explorer_databaseconnection;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1887","PRAGMA table_info(explorer_explorervalue);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1888","SELECT * FROM explorer_explorervalue;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1889","PRAGMA table_info(explorer_promptlog);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1890","SELECT * FROM explorer_promptlog;","Jan. 3, 2026, 9:31 a.m.","None","1","15.624523162841797","","None","True","1"
"1891","PRAGMA table_info(explorer_query);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1892","SELECT * FROM explorer_query;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1893","PRAGMA table_info(explorer_queryfavorite);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1894","SELECT * FROM explorer_queryfavorite;","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1895","PRAGMA table_info(explorer_querylog);","Jan. 3, 2026, 9:31 a.m.","None","1","0.0","","None","True","1"
"1896","SELECT * FROM explorer_querylog;","Jan. 3, 2026, 9:31 a.m.","None","1","None","","None","True","1"
