"codename","name"
"1","1","add_logentry","Can add log entry"
"2","1","change_logentry","Can change log entry"
"3","1","delete_logentry","Can delete log entry"
"4","1","view_logentry","Can view log entry"
"5","2","add_permission","Can add permission"
"6","2","change_permission","Can change permission"
"7","2","delete_permission","Can delete permission"
"8","2","view_permission","Can view permission"
"9","3","add_group","Can add group"
"10","3","change_group","Can change group"
"11","3","delete_group","Can delete group"
"12","3","view_group","Can view group"
"13","4","add_contenttype","Can add content type"
"14","4","change_contenttype","Can change content type"
"15","4","delete_contenttype","Can delete content type"
"16","4","view_contenttype","Can view content type"
"17","5","add_session","Can add session"
"18","5","change_session","Can change session"
"19","5","delete_session","Can delete session"
"20","5","view_session","Can view session"
"21","6","add_customuser","Can add custom user"
"22","6","change_customuser","Can change custom user"
"23","6","delete_customuser","Can delete custom user"
"24","6","view_customuser","Can view custom user"
"25","7","add_comment","Can add comment"
"26","7","change_comment","Can change comment"
"27","7","delete_comment","Can delete comment"
"28","7","view_comment","Can view comment"
"29","8","add_article","Can add article"
"30","8","change_article","Can change article"
"31","8","delete_article","Can delete article"
"32","8","view_article","Can view article"
"33","9","add_query","Can add Query"
"34","9","change_query","Can change Query"
"35","9","delete_query","Can delete Query"
"36","9","view_query","Can view Query"
"37","10","add_querylog","Can add query log"
"38","10","change_querylog","Can change query log"
"39","10","delete_querylog","Can delete query log"
"40","10","view_querylog","Can view query log"
"41","11","add_queryfavorite","Can add query favorite"
"42","11","change_queryfavorite","Can change query favorite"
"43","11","delete_queryfavorite","Can delete query favorite"
"44","11","view_queryfavorite","Can view query favorite"
"45","12","add_promptlog","Can add prompt log"
"46","12","change_promptlog","Can change prompt log"
"47","12","delete_promptlog","Can delete prompt log"
"48","12","view_promptlog","Can view prompt log"
"49","13","add_explorervalue","Can add explorer value"
"50","13","change_explorervalue","Can change explorer value"
"51","13","delete_explorervalue","Can delete explorer value"
"52","13","view_explorervalue","Can view explorer value"
"53","14","add_databaseconnection","Can add database connection"
"54","14","change_databaseconnection","Can change database connection"
"55","14","delete_databaseconnection","Can delete database connection"
"56","14","view_databaseconnection","Can view database connection"
"57","15","add_tabledescription","Can add table description"
"58","15","change_tabledescription","Can change table description"
"59","15","delete_tabledescription","Can delete table description"
"60","15","view_tabledescription","Can view table description"
